,ra,dec,name,major_axis,minor_axis,pa
86,271.35751,-28.36783,M 1-37,26.0869565217,26.0869565217,0.0
87,263.99362,-24.42476,Th 3-27,26.0869565217,26.0869565217,0.0
89,272.77094,-28.98315,M 1-42,26.0869565217,26.0869565217,0.0
90,266.41571,-25.66668,H 2-20,26.0869565217,26.0869565217,0.0
91,266.368,-25.6368,Terz N 1567,26.0869565217,26.0869565217,0.0
92,270.292,-27.64061,Pe 2-12,26.0869565217,26.0869565217,0.0
93,272.02404,-28.43633,H 2-39,26.0869565217,26.0869565217,0.0
94,261.97375,-22.95524,PM 1-149,26.0869565217,26.0869565217,0.0
95,270.71442,-27.68354,KFL 4,26.0869565217,26.0869565217,0.0
96,264.334,-24.0582,K 5-7,26.0869565217,26.0869565217,0.0
97,265.47,-24.70233,Hb 4,26.0869565217,26.0869565217,0.0
98,265.03094,-24.42849,H 2-17,26.0869565217,26.0869565217,0.0
99,272.62836,-28.32303,KFL 12,26.0869565217,26.0869565217,0.0
100,274.42258,-29.13877,M 2-36,26.0869565217,26.0869565217,0.0
101,275.78705,-29.72366,KFL 19,26.0869565217,26.0869565217,0.0
102,274.44318,-29.10209,SB 7,26.0869565217,26.0869565217,0.0
103,272.89621,-28.37695,Ap 1-12,26.0869565217,26.0869565217,0.0
105,272.96863,-28.17841,NGC 6565,26.0869565217,26.0869565217,0.0
106,270.82669,-27.10628,IC 4673,26.0869565217,26.0869565217,0.0
107,265.48856,-24.18768,M 2-14,26.0869565217,26.0869565217,0.0
108,270.79935,-26.97506,M 2-26,26.0869565217,26.0869565217,0.0
109,263.88,-23.19656,K 5-6,26.0869565217,26.0869565217,0.0
110,261.18951,-21.55979,H 2-8,26.0869565217,26.0869565217,0.0
111,273.14331,-27.96962,M 2-30,26.0869565217,26.0869565217,0.0
112,263.61172,-22.88881,H 2-15,26.0869565217,26.0869565217,0.0
113,272.87192,-27.77102,H 1-59,26.0869565217,26.0869565217,0.0
114,273.09903,-27.87052,H 2-41,26.0869565217,26.0869565217,0.0
115,270.91379,-26.72603,M 1-35,26.0869565217,26.0869565217,0.0
116,271.70838,-27.10542,KFL 7,26.0869565217,26.0869565217,0.0
117,267.1185,-24.68998,Terz N 2111,26.0869565217,26.0869565217,0.0
118,283.9077,-32.26348,Hb 7,26.0869565217,26.0869565217,0.0
119,279.85739,-30.67686,M 3-29,26.0869565217,26.0869565217,0.0
120,274.42624,-28.28772,Pe 1-12,26.0869565217,26.0869565217,0.0
121,271.67026,-26.91554,M 2-29,26.0869565217,26.0869565217,0.0
122,272.55103,-27.27639,KFL 11,26.0869565217,26.0869565217,0.0
123,273.1048,-27.48693,H 1-60,26.0869565217,26.0869565217,0.0
124,272.00546,-26.90042,KFL 10,26.0869565217,26.0869565217,0.0
125,274.65977,-28.13293,M 2-37,26.0869565217,26.0869565217,0.0
126,271.4892,-26.49486,H 1-53,26.0869565217,26.0869565217,0.0
127,278.92633,-29.63974,SB 9,26.0869565217,26.0869565217,0.0
128,263.40652,-21.77355,H 1-24,26.0869565217,26.0869565217,0.0
129,281.06082,-30.32688,Hen 2-418,26.0869565217,26.0869565217,0.0
130,274.04752,-27.24929,M 3-26,26.0869565217,26.0869565217,0.0
131,267.25201,-23.71516,H 2-25,26.0869565217,26.0869565217,0.0
133,264.62628,-22.14413,M 1-25,26.0869565217,26.0869565217,0.0
134,274.07229,-27.07628,M 1-44,26.0869565217,26.0869565217,0.0
135,265.07471,-22.32157,H 1-27,26.0869565217,26.0869565217,0.0
136,273.09572,-26.54844,H 2-42,26.0869565217,26.0869565217,0.0
137,266.403,-23.0404,Pe 1-9,26.0869565217,26.0869565217,0.0
138,272.30765,-26.04133,H 1-58,26.0869565217,26.0869565217,0.0
139,278.12846,-28.72222,Hf 2-2,26.0869565217,26.0869565217,0.0
140,267.46368,-23.4623,K 5-19,26.0869565217,26.0869565217,0.0
141,288.59723,-32.57132,StWr 2-21,26.0869565217,26.0869565217,0.0
142,264.0943,-21.52006,M 3-12,26.0869565217,26.0869565217,0.0
143,265.40247,-22.21735,M 3-13,26.0869565217,26.0869565217,0.0
144,271.35573,-25.22656,PBOZ 34,26.0869565217,26.0869565217,0.0
145,273.41901,-26.14409,H 2-44,26.0869565217,26.0869565217,0.0
146,271.97464,-25.40075,M 3-24,26.0869565217,26.0869565217,0.0
147,267.03195,-22.77987,H 1-34,26.0869565217,26.0869565217,0.0
148,274.225,-26.3892,KFL 16,26.0869565217,26.0869565217,0.0
149,274.85483,-26.58887,M 2-38,26.0869565217,26.0869565217,0.0
150,273.186,-25.7388,KFL 13,26.0869565217,26.0869565217,0.0
