,ra,dec,name,major_axis,minor_axis,pa
1043,260.56549,-38.48339,NGC 6337,51.00000165402889,51.00000165402889,0.0
1044,263.92416,-40.19061,Lo 16,26.0869565217,26.0869565217,0.0
1045,258.43539,-37.10322,NGC 6302,44.40000057220459,44.40000057220459,0.0
1046,255.27596,-34.82738,M 2-4,26.0869565217,26.0869565217,0.0
1047,264.1245,-39.36571,H 1-26,26.0869565217,26.0869565217,0.0
1048,265.72528,-39.60668,H 1-28,26.0869565217,26.0869565217,0.0
1049,263.09225,-37.95662,H 1-22,26.0869565217,26.0869565217,0.0
1050,256.15106,-33.98854,H 2-1,26.0869565217,26.0869565217,0.0
1051,272.24533,-41.81047,HaTr 9,26.0869565217,26.0869565217,0.0
1052,255.9452,-33.49567,M 1-19,26.0869565217,26.0869565217,0.0
1053,255.57945,-33.16806,M 2-5,26.0869565217,26.0869565217,0.0
1054,267.61503,-39.67121,SB 33,26.0869565217,26.0869565217,0.0
1055,253.40445,-31.67584,H 1-4,26.0869565217,26.0869565217,0.0
1056,268.03909,-39.53737,SB 34,26.0869565217,26.0869565217,0.0
1057,267.6857,-39.29055,H 1-37,26.0869565217,26.0869565217,0.0
1058,273.22046,-41.50739,Wray 16-385,26.0869565217,26.0869565217,0.0
1059,268.26172,-39.4024,SB 35,26.0869565217,26.0869565217,0.0
1060,252.57129,-30.33208,PC 13,26.0869565217,26.0869565217,0.0
1061,263.25278,-36.73126,Wray 16-286,26.0869565217,26.0869565217,0.0
1062,266.27826,-38.14708,H 1-30,26.0869565217,26.0869565217,0.0
1063,256.37781,-32.53564,M 2-8,26.0869565217,26.0869565217,0.0
1064,258.67877,-33.41311,H 1-8,26.0869565217,26.0869565217,0.0
1065,266.96948,-37.80086,SB 37,26.0869565217,26.0869565217,0.0
1066,261.60117,-35.02822,H 1-12,26.0869565217,26.0869565217,0.0
1067,270.87151,-39.35783,SB 38,26.0869565217,26.0869565217,0.0
1068,262.11492,-35.12547,H 1-13,26.0869565217,26.0869565217,0.0
1069,251.20438,-28.06797,K 2-16,26.0869565217,26.0869565217,0.0
1070,270.04925,-38.83128,Fg 3,26.0869565217,26.0869565217,0.0
1071,267.68853,-37.39808,H 1-38,26.0869565217,26.0869565217,0.0
1072,256.07635,-30.89131,M 2-6,26.0869565217,26.0869565217,0.0
1073,271.13174,-38.79436,SB 39,26.0869565217,26.0869565217,0.0
1074,264.82144,-35.78302,K 5-8,26.0869565217,26.0869565217,0.0
1075,267.00387,-36.83556,K 6-13,26.0869565217,26.0869565217,0.0
1076,266.1482,-36.23393,K 6-11,26.0869565217,26.0869565217,0.0
1077,256.308,-30.5388,M 2-7,26.0869565217,26.0869565217,0.0
1078,276.67407,-40.49792,Wray 16-411,26.0869565217,26.0869565217,0.0
1079,263.86404,-34.79506,K 6-3,26.0869565217,26.0869565217,0.0
1080,259.93938,-32.50894,PM 1-140,26.0869565217,26.0869565217,0.0
1081,258.52927,-31.3285,M 2-10,26.0869565217,26.0869565217,0.0
1082,271.24004,-37.63554,H 1-52,26.0869565217,26.0869565217,0.0
1083,264.72634,-34.46065,K 6-5,26.0869565217,26.0869565217,0.0
1084,259.71634,-31.65176,Th 3-4,26.0869565217,26.0869565217,0.0
1085,258.22243,-30.66899,Terz N 139,26.0869565217,26.0869565217,0.0
1086,273.91267,-38.46569,SB 41,26.0869565217,26.0869565217,0.0
1087,270.73206,-37.13721,SB 40,26.0869565217,26.0869565217,0.0
1088,259.83423,-31.21125,Th 3-6,26.0869565217,26.0869565217,0.0
1089,267.12288,-35.09144,K 5-18,26.0869565217,26.0869565217,0.0
1090,270.63469,-36.65304,M 3-21,26.0869565217,26.0869565217,0.0
1091,258.761,-30.3424,Terz N 140,26.0869565217,26.0869565217,0.0
1092,266.38451,-34.56551,H 1-31,26.0869565217,26.0869565217,0.0
1093,261.1096,-31.7222,Th 3-11,26.0869565217,26.0869565217,0.0
1094,259.76398,-30.89816,Terz N 137,26.0869565217,26.0869565217,0.0
1095,266.0577,-34.29259,H 1-29,26.0869565217,26.0869565217,0.0
1096,271.46893,-36.76015,SB 42,26.0869565217,26.0869565217,0.0
1097,265.00143,-33.5923,K 6-9,26.0869565217,26.0869565217,0.0
1098,266.08582,-34.11127,M 3-14,26.0869565217,26.0869565217,0.0
1099,261.26447,-31.47736,Terz N 138,26.0869565217,26.0869565217,0.0
1100,267.80063,-34.923,Hf 2-1,26.0869565217,26.0869565217,0.0
1101,266.52636,-34.06265,H 1-32,26.0869565217,26.0869565217,0.0
1102,267.24164,-34.3648,H 2-23,26.0869565217,26.0869565217,0.0
1103,267.30807,-34.38138,H 1-35,26.0869565217,26.0869565217,0.0
1104,266.95588,-34.13472,H 1-33,26.0869565217,26.0869565217,0.0
1105,273.09852,-36.88107,SB 43,26.0869565217,26.0869565217,0.0
1106,268.24561,-34.63972,M 1-30,26.0869565217,26.0869565217,0.0
1107,261.1702,-30.86652,Th 3-10,26.0869565217,26.0869565217,0.0
1108,260.3829,-30.34676,H 1-9,26.0869565217,26.0869565217,0.0
1109,271.71858,-36.11139,SB 45,26.0869565217,26.0869565217,0.0
1110,271.78258,-36.04606,SB 44,26.0869565217,26.0869565217,0.0
1111,267.46169,-34.00865,H 2-26,26.0869565217,26.0869565217,0.0
1112,261.3306,-30.67827,Th 3-13,26.0869565217,26.0869565217,0.0
1113,273.16614,-36.53032,SB 46,26.0869565217,26.0869565217,0.0
1114,268.63742,-34.37246,Cn 2-1,26.0869565217,26.0869565217,0.0
1115,271.83948,-35.76223,SB 47,26.0869565217,26.0869565217,0.0
1116,270.63344,-35.22047,M 3-49,26.0869565217,26.0869565217,0.0
1117,271.31,-35.46876,SB 48,26.0869565217,26.0869565217,0.0
1118,267.96072,-33.79322,H 2-27,26.0869565217,26.0869565217,0.0
1119,266.68936,-33.14307,M 1-27,26.0869565217,26.0869565217,0.0
1120,262.74515,-31.01826,Th 3-55,26.0869565217,26.0869565217,0.0
1121,268.33752,-33.9329,H 1-39,26.0869565217,26.0869565217,0.0
1122,259.33553,-28.99115,Th 3-3,26.0869565217,26.0869565217,0.0
1123,272.45514,-35.73691,H 1-57,26.0869565217,26.0869565217,0.0
1124,269.32977,-34.16364,H 1-41,26.0869565217,26.0869565217,0.0
1125,271.1221,-34.96694,H 1-51,26.0869565217,26.0869565217,0.0
1126,270.07586,-34.461,H 2-35,26.0869565217,26.0869565217,0.0
1127,267.54474,-33.23832,K 5-20,26.0869565217,26.0869565217,0.0
1128,276.9614,-37.26589,Lo 17,26.0869565217,26.0869565217,0.0
1129,261.27539,-29.75469,Th 3-12,26.0869565217,26.0869565217,0.0
1130,260.13855,-29.01074,M 2-11,26.0869565217,26.0869565217,0.0
1131,260.26859,-29.04978,M 3-38,26.0869565217,26.0869565217,0.0
1132,262.20978,-30.12902,M 4-4,26.0869565217,26.0869565217,0.0
1133,261.14346,-29.40541,M 3-7,26.0869565217,26.0869565217,0.0
1134,263.46235,-30.71004,K 6-2,26.0869565217,26.0869565217,0.0
1135,262.71358,-30.28676,Th 3-24,26.0869565217,26.0869565217,0.0
1136,271.02167,-34.47708,M 3-50,26.0869565217,26.0869565217,0.0
1137,269.56012,-33.79375,H 1-43,26.0869565217,26.0869565217,0.0
1138,257.67395,-27.14549,M 4-3,26.0869565217,26.0869565217,0.0
1139,275.03815,-36.12252,SB 49,26.0869565217,26.0869565217,0.0
1140,262.78369,-30.17444,H 2-13,26.0869565217,26.0869565217,0.0
1141,269.35486,-33.59526,H 1-42,26.0869565217,26.0869565217,0.0
1142,263.321,-30.4414,Al 2-H,26.0869565217,26.0869565217,0.0
1143,271.53458,-34.55853,SB 50,26.0869565217,26.0869565217,0.0
1144,260.85391,-28.98501,H 2-7,26.0869565217,26.0869565217,0.0
1145,261.49911,-29.36393,M 3-41,26.0869565217,26.0869565217,0.0
1146,268.40768,-32.97998,M 2-18,26.0869565217,26.0869565217,0.0
1147,272.32,-34.7971,SB 51,26.0869565217,26.0869565217,0.0
1148,268.14319,-32.76419,M 2-16,26.0869565217,26.0869565217,0.0
1149,269.63588,-33.4768,M 2-22,26.0869565217,26.0869565217,0.0
1150,261.85147,-29.35389,Th 3-16,26.0869565217,26.0869565217,0.0
1151,261.74915,-29.25885,M 3-42,26.0869565217,26.0869565217,0.0
1152,263.1954,-30.00419,H 1-23,26.0869565217,26.0869565217,0.0
1153,262.42816,-29.54728,H 1-18,26.0869565217,26.0869565217,0.0
1154,268.31998,-32.67738,H 2-29,26.0869565217,26.0869565217,0.0
1155,263.93106,-30.35734,Terz N 21,26.0869565217,26.0869565217,0.0
1156,256.43549,-25.41715,Th 3-1,26.0869565217,26.0869565217,0.0
1157,269.058,-32.6228,H 2-30,26.0869565217,26.0869565217,0.0
1158,270.42818,-33.25687,Pe 1-11,26.0869565217,26.0869565217,0.0
1159,262.58893,-29.17016,Th 3-23,26.0869565217,26.0869565217,0.0
1160,258.1398,-26.4226,Terz N 8,26.0869565217,26.0869565217,0.0
1161,261.88687,-28.51858,H 2-10,26.0869565217,26.0869565217,0.0
1162,266.51154,-31.06056,Bl D,26.0869565217,26.0869565217,0.0
1163,261.83395,-28.46421,M 3-10,26.0869565217,26.0869565217,0.0
1164,261.21729,-28.0985,M 3-8,26.0869565217,26.0869565217,0.0
1166,262.4191,-28.67281,H 1-17,26.0869565217,26.0869565217,0.0
1167,264.24933,-29.66915,Bl B,26.0869565217,26.0869565217,0.0
1168,267.9361,-31.60005,PN M 4-7,26.0869565217,26.0869565217,0.0
1169,262.1741,-28.45537,Th 3-19,26.0869565217,26.0869565217,0.0
1170,263.84476,-29.3715,JaSt 3,26.0869565217,26.0869565217,0.0
1171,273.01147,-33.86865,NGC 6563,47.40000106394291,47.40000106394291,0.0
1172,262.6268,-28.59858,Al 2-F,26.0869565217,26.0869565217,0.0
1173,269.76038,-32.36206,H 1-46,26.0869565217,26.0869565217,0.0
1174,260.29784,-27.19362,M 3-39,26.0869565217,26.0869565217,0.0
1175,262.94738,-28.70072,M 3-57,26.0869565217,26.0869565217,0.0
1176,258.16315,-25.72705,M 3-36,26.0869565217,26.0869565217,0.0
1177,271.23431,-32.90034,M 3-51,26.0869565217,26.0869565217,0.0
1178,268.00143,-31.2972,K 6-16,26.0869565217,26.0869565217,0.0
1179,263.80823,-29.05283,M 4-6,26.0869565217,26.0869565217,0.0
1180,270.97275,-32.69504,H 1-50,26.0869565217,26.0869565217,0.0
1181,260.6178,-27.14511,M 3-40,26.0869565217,26.0869565217,0.0
1182,270.86874,-32.62388,SB 53,26.0869565217,26.0869565217,0.0
1183,268.40096,-31.42355,Al 2-R,26.0869565217,26.0869565217,0.0
1184,261.79442,-27.73267,Th 3-15,26.0869565217,26.0869565217,0.0
1185,263.968,-28.9743,JaSt 5,26.0869565217,26.0869565217,0.0
1186,261.75146,-27.67614,SaWe 2,26.0869565217,26.0869565217,0.0
1187,262.78873,-28.24734,Th 3-26,26.0869565217,26.0869565217,0.0
1188,266.49023,-30.20016,M 1-26,26.0869565217,26.0869565217,0.0
1189,262.51062,-27.98821,H 1-19,26.0869565217,26.0869565217,0.0
1190,262.6825,-28.06852,H 1-20,26.0869565217,26.0869565217,0.0
1191,269.54434,-31.71558,H 1-44,26.0869565217,26.0869565217,0.0
1192,269.98659,-31.9077,M 3-48,26.0869565217,26.0869565217,0.0
1193,264.68957,-29.14935,JaSt 9,26.0869565217,26.0869565217,0.0
1194,270.69403,-32.15816,M 2-25,26.0869565217,26.0869565217,0.0
1195,268.77358,-31.20468,M 3-46,26.0869565217,26.0869565217,0.0
1196,267.57501,-30.58192,M 1-29,26.0869565217,26.0869565217,0.0
1197,252.14373,-21.01404,Abell 40,26.0869565217,26.0869565217,0.0
1198,268.19186,-30.82623,M 3-16,26.0869565217,26.0869565217,0.0
1199,264.76196,-28.94308,19W32,26.0869565217,26.0869565217,0.0
1201,261.43359,-26.96325,Th 3-14,26.0869565217,26.0869565217,0.0
1202,266.98417,-29.99436,Hb 5,26.0869565217,26.0869565217,0.0
1203,269.10684,-31.07134,M 3-17,26.0869565217,26.0869565217,0.0
1204,272.131,-32.4999,SB 54,26.0869565217,26.0869565217,0.0
1205,267.82874,-30.39805,M 3-44,26.0869565217,26.0869565217,0.0
1206,264.67569,-28.71259,Th 3-35,26.0869565217,26.0869565217,0.0
1207,262.56,-27.50539,Al 2-E,26.0869565217,26.0869565217,0.0
1208,274.86079,-33.61864,SB 55,26.0869565217,26.0869565217,0.0
1209,263.81473,-28.11714,Th 3-32,26.0869565217,26.0869565217,0.0
1210,269.55222,-31.135,H 2-33,26.0869565217,26.0869565217,0.0
1211,263.55759,-27.9336,Al 2-I,26.0869565217,26.0869565217,0.0
1212,271.03203,-31.65296,H 2-36,26.0869565217,26.0869565217,0.0
1213,264.05908,-28.01286,Al 2-K,26.0869565217,26.0869565217,0.0
1214,268.90021,-30.55891,H 1-40,26.0869565217,26.0869565217,0.0
1215,268.02469,-30.08717,M 3-45,26.0869565217,26.0869565217,0.0
1216,270.72007,-31.39948,KFL 3,26.0869565217,26.0869565217,0.0
1217,262.69464,-27.09976,Th 3-25,26.0869565217,26.0869565217,0.0
1218,259.80579,-25.28821,M 3-37,26.0869565217,26.0869565217,0.0
1219,263.9505,-27.72233,Th 3-33,26.0869565217,26.0869565217,0.0
1220,261.34829,-26.19806,Terz N 19,26.0869565217,26.0869565217,0.0
1221,261.00604,-25.98977,M 2-12,26.0869565217,26.0869565217,0.0
1222,273.71091,-32.61534,M 2-32,26.0869565217,26.0869565217,0.0
1223,261.43071,-26.19875,M 3-9,26.0869565217,26.0869565217,0.0
1224,271.83036,-31.71559,KFL 9,26.0869565217,26.0869565217,0.0
1225,273.885,-32.6335,SB 56,26.0869565217,26.0869565217,0.0
1226,270.96912,-31.29626,M 2-27,26.0869565217,26.0869565217,0.0
1227,273.3248,-32.32854,H 1-62,26.0869565217,26.0869565217,0.0
1228,268.24321,-29.88969,PHR J1752-2953,26.0869565217,26.0869565217,0.0
1229,268.51797,-29.95753,MPA J1754-2957,26.0869565217,26.0869565217,0.0
1230,267.75171,-29.56416,PPA J1751-2933,26.0869565217,26.0869565217,0.0
1231,264.56791,-27.80219,PHR J1738-2748,26.0869565217,26.0869565217,0.0
1232,264.513,-27.7716,PHR J1738-2746,26.0869565217,26.0869565217,0.0
1233,261.01793,-25.72054,PHR J1724-2543,26.0869565217,26.0869565217,0.0
1234,268.20379,-29.69973,JaSt 85,26.0869565217,26.0869565217,0.0
1235,269.948,-30.509,PHR J1759-3030,26.0869565217,26.0869565217,0.0
1236,259.67831,-24.69027,PHR J1718-2441,26.0869565217,26.0869565217,0.0
1237,262.28044,-26.24582,PHR J1729-2614,26.0869565217,26.0869565217,0.0
1238,263.469,-26.9242,PHR J1733-2655,26.0869565217,26.0869565217,0.0
1239,268.21714,-29.50027,PHR J1752-2930,26.0869565217,26.0869565217,0.0
1240,270.04626,-30.3969,MPA J1800-3023,26.0869565217,26.0869565217,0.0
1241,262.55121,-26.3503,PPA J1730-2621,26.0869565217,26.0869565217,0.0
1242,270.85753,-30.77365,MPA J1803-3046,26.0869565217,26.0869565217,0.0
1243,263.364,-26.8001,PHR J1733-2647,26.0869565217,26.0869565217,0.0
1244,261.30452,-25.57113,PHR J1725-2534,26.0869565217,26.0869565217,0.0
1245,270.84042,-30.72659,MPA J1803-3043,26.0869565217,26.0869565217,0.0
1246,262.46821,-26.18703,K 5-1,26.0869565217,26.0869565217,0.0
1247,269.85496,-30.12172,MPA J1759-3007,26.0869565217,26.0869565217,0.0
1248,263.98169,-26.98803,PHR J1735-2659,26.0869565217,26.0869565217,0.0
1249,269.98625,-30.07443,MPA J1759-3004,26.0869565217,26.0869565217,0.0
1250,263.733,-26.7379,PHR J1734-2644,26.0869565217,26.0869565217,0.0
1251,268.2529,-29.09802,JaSt 88,26.0869565217,26.0869565217,0.0
1252,259.28769,-23.94146,MPA J1717-2356,26.0869565217,26.0869565217,0.0
1253,272.602,-31.0679,PPA J1810-3104,26.0869565217,26.0869565217,0.0
1254,264.87535,-27.0339,MPA J1739-2702,26.0869565217,26.0869565217,0.0
1255,267.93033,-28.64969,MPA J1751-2838,26.0869565217,26.0869565217,0.0
1256,271.20071,-30.28033,PHR J1804-3016,26.0869565217,26.0869565217,0.0
1257,265.21567,-27.14674,PPA J1740-2708,26.0869565217,26.0869565217,0.0
1258,270.30578,-29.78336,PHR J1801-2947,26.0869565217,26.0869565217,0.0
1259,264.79712,-26.87226,PPA J1739-2652,26.0869565217,26.0869565217,0.0
1260,268.93,-29.0677,K 6-35,26.0869565217,26.0869565217,0.0
1261,264.95714,-26.81249,MPA J1739-2648,26.0869565217,26.0869565217,0.0
1262,278.931,-33.4122,PPA1835-3324,26.0869565217,26.0869565217,0.0
1263,268.32257,-28.60199,JaSt 2-10,26.0869565217,26.0869565217,0.0
1264,259.0872,-23.23241,BMP J1716-2313,26.0869565217,26.0869565217,0.0
1265,269.151,-28.9551,JaSt 2-20,26.0869565217,26.0869565217,0.0
1266,272.76128,-30.70331,PHR J1811-3042,26.0869565217,26.0869565217,0.0
1267,269.76172,-29.25027,PHR J1759-2915,26.0869565217,26.0869565217,0.0
1268,270.874,-29.7826,PHR J1803-2947,26.0869565217,26.0869565217,0.0
1269,264.37623,-26.3622,PPA J1737-2621,26.0869565217,26.0869565217,0.0
1270,271.66278,-29.98133,BMP J1806-2958,26.0869565217,26.0869565217,0.0
1271,261.22413,-24.32247,Bica 1,26.0869565217,26.0869565217,0.0
1272,263.11289,-25.38024,PHR J1732-2522,26.0869565217,26.0869565217,0.0
1273,270.09335,-29.07746,PPA J1800-2904,26.0869565217,26.0869565217,0.0
1274,269.70504,-28.8822,PHR J1758-2852,26.0869565217,26.0869565217,0.0
1275,264.31876,-25.99386,PHR J1737-2559,26.0869565217,26.0869565217,0.0
1276,269.99542,-28.89911,PHR J1759-2853,26.0869565217,26.0869565217,0.0
1277,267.982,-27.8008,Sab 44,26.0869565217,26.0869565217,0.0
1278,265.77834,-26.60839,MPA J1743-2636,26.0869565217,26.0869565217,0.0
1279,270.00255,-28.77418,PPA J1800-2846,26.0869565217,26.0869565217,0.0
1280,263.94747,-25.46196,PHR J1735-2527,26.0869565217,26.0869565217,0.0
1281,272.4454,-29.88162,PHR J1809-2952,26.0869565217,26.0869565217,0.0
1282,269.42581,-28.40196,PHR J1757-2824,26.0869565217,26.0869565217,0.0
1283,271.11879,-29.23261,PHR J1804-2913,26.0869565217,26.0869565217,0.0
1284,270.70911,-29.00557,MPA J1802-2900,26.0869565217,26.0869565217,0.0
1285,270.15019,-28.71397,PHR J1800-2842,26.0869565217,26.0869565217,0.0
1286,269.9695,-28.57989,PPA J1759-2834,26.0869565217,26.0869565217,0.0
1287,265.4362,-26.15554,PHR J1741-2609,26.0869565217,26.0869565217,0.0
1288,265.69071,-26.22933,MPA J1742-2613,26.0869565217,26.0869565217,0.0
1289,270.90807,-28.92823,PPA J1803-2855,26.0869565217,26.0869565217,0.0
1290,266.868,-26.83018,MPA J1747-2649,26.0869565217,26.0869565217,0.0
1291,270.70207,-28.79472,PHR J1802-2847,26.0869565217,26.0869565217,0.0
1292,266.1396,-26.41499,PHR J1744-2624,26.0869565217,26.0869565217,0.0
1293,261.72673,-23.85776,PHR J1726-2351,26.0869565217,26.0869565217,0.0
1294,270.793,-28.8145,PHR J1803-2848,26.0869565217,26.0869565217,0.0
1295,270.04044,-28.42363,MPA J1800-2825,26.0869565217,26.0869565217,0.0
1296,270.0779,-28.43551,PPA J1800-2826,26.0869565217,26.0869565217,0.0
1297,261.424,-23.6422,PHR J1725-2338,26.0869565217,26.0869565217,0.0
1298,270.38454,-28.52917,PHR J1801-2831,26.0869565217,26.0869565217,0.0
1299,268.5783,-27.61,K 5-35,26.0869565217,26.0869565217,0.0
1300,265.128,-25.7449,Terz N 117,26.0869565217,26.0869565217,0.0
1301,271.7071,-29.16643,PHR J1806-2909,26.0869565217,26.0869565217,0.0
1302,268.79333,-27.69437,MPA J1755-2741,26.0869565217,26.0869565217,0.0
1303,266.47879,-26.44531,MPA J1745-2626,26.0869565217,26.0869565217,0.0
1304,276.09062,-31.11933,PPA J1824-3107,26.0869565217,26.0869565217,0.0
1305,270.07832,-28.30968,PPA J1800-2818,26.0869565217,26.0869565217,0.0
1306,272.027,-29.2196,K 6-40,26.0869565217,26.0869565217,0.0
1307,268.93974,-27.66163,PPA J1755-2739,26.0869565217,26.0869565217,0.0
1308,266.0069,-26.09588,PPA J1744-2605,26.0869565217,26.0869565217,0.0
1309,262.29419,-23.9084,PHR J1729-2354,26.0869565217,26.0869565217,0.0
1310,269.6463,-27.94889,PHR J1758-2756,26.0869565217,26.0869565217,0.0
1311,273.61135,-29.86306,PPA J1814-2951,26.0869565217,26.0869565217,0.0
1312,261.92373,-23.64807,PPA J1727-2338,26.0869565217,26.0869565217,0.0
1313,266.14756,-26.05979,PHR J1744-2603,26.0869565217,26.0869565217,0.0
1314,273.938,-29.9623,PHR J1815-2957,26.0869565217,26.0869565217,0.0
1315,264.34979,-25.02562,PPA J1737-2501,26.0869565217,26.0869565217,0.0
1316,265.45171,-25.63832,PPA J1741-2538,26.0869565217,26.0869565217,0.0
1317,261.64071,-23.42069,PPA J1726-2325,26.0869565217,26.0869565217,0.0
1318,270.85296,-28.44031,PPA J1803-2826,26.0869565217,26.0869565217,0.0
1319,272.80209,-29.36668,K 6-41,26.0869565217,26.0869565217,0.0
1320,264.50127,-25.01281,PHR J1738-2500,26.0869565217,26.0869565217,0.0
1321,271.2308,-28.55219,PHR J1804-2833,26.0869565217,26.0869565217,0.0
1322,270.4388,-28.16027,PHR J1801-2809,26.0869565217,26.0869565217,0.0
1323,261.22168,-23.04279,PHR J1724-2302,26.0869565217,26.0869565217,0.0
1324,266.71669,-26.19725,PHR J1746-2611,26.0869565217,26.0869565217,0.0
1325,265.80457,-25.69412,PHR J1743-2541,26.0869565217,26.0869565217,0.0
1326,263.342,-24.2512,PPA J1733-2415,26.0869565217,26.0869565217,0.0
1327,266.00121,-25.75998,PHR J1744-2545,26.0869565217,26.0869565217,0.0
1328,263.24253,-24.14588,PHR J1732-2408,26.0869565217,26.0869565217,0.0
1329,265.91438,-25.63796,PHR J1743-2538,26.0869565217,26.0869565217,0.0
1330,271.05455,-28.26998,PHR J1804-2816,26.0869565217,26.0869565217,0.0
1331,263.40751,-24.1295,PHR J1733-2407,26.0869565217,26.0869565217,0.0
1332,265.7171,-25.42857,PHR J1742-2525,26.0869565217,26.0869565217,0.0
1333,269.62047,-27.49446,PHR J1758-2729,26.0869565217,26.0869565217,0.0
1334,270.78541,-28.0708,PHR J1803-2804,26.0869565217,26.0869565217,0.0
1335,266.32876,-25.70142,PPA J1745-2542,26.0869565217,26.0869565217,0.0
1336,264.38342,-24.59475,PHR J1737-2435,26.0869565217,26.0869565217,0.0
1337,271.63375,-28.40753,PHR J1806-2824,26.0869565217,26.0869565217,0.0
1338,270.385,-27.76861,PPA J1801-2746,26.0869565217,26.0869565217,0.0
1339,278.8901,-31.59566,PHR J1835-3135,26.0869565217,26.0869565217,0.0
1340,272.1159,-28.59361,PHR J1808-2835,26.0869565217,26.0869565217,0.0
1341,271.072,-27.9547,PHR J1804-2757,26.0869565217,26.0869565217,0.0
1342,278.42834,-31.26193,PHR J1833-3115,26.0869565217,26.0869565217,0.0
1343,271.43503,-28.07942,PHR J1805-2804,26.0869565217,26.0869565217,0.0
1344,275.148,-29.8135,PPA J1820-2948,26.0869565217,26.0869565217,0.0
1345,273.09754,-28.80275,PHR J1812-2848,26.0869565217,26.0869565217,0.0
1346,269.88836,-27.21384,PHR J1759-2712,26.0869565217,26.0869565217,0.0
1347,269.85796,-27.10517,PHR J1759-2706,26.0869565217,26.0869565217,0.0
1348,264.71537,-24.32892,PHR J1738-2419,26.0869565217,26.0869565217,0.0
1349,263.27935,-23.46674,PHR1733-2327,26.0869565217,26.0869565217,0.0
1350,266.41656,-25.23488,PPA J1745-2514,26.0869565217,26.0869565217,0.0
1351,270.35358,-27.30306,PHR J1801-2718,26.0869565217,26.0869565217,0.0
1352,271.61665,-27.78772,PHR J1806-2747,26.0869565217,26.0869565217,0.0
1353,272.65046,-28.22933,PPA J1810-2813,26.0869565217,26.0869565217,0.0
1354,269.98035,-26.86362,PHR J1759-2651,26.0869565217,26.0869565217,0.0
1355,270.17628,-26.89357,PHR J1800-2653,26.0869565217,26.0869565217,0.0
1356,267.06454,-25.2539,PHR J1748-2515,26.0869565217,26.0869565217,0.0
1357,264.28753,-23.68999,PHR J1737-2341,26.0869565217,26.0869565217,0.0
1358,264.36838,-23.69194,PPA J1737-2341,26.0869565217,26.0869565217,0.0
1359,265.91342,-24.53167,PHR J1743-2431,26.0869565217,26.0869565217,0.0
1360,271.30462,-27.35219,MPA J1805-2721,26.0869565217,26.0869565217,0.0
1361,264.15212,-23.5058,PHR J1736-2330,26.0869565217,26.0869565217,0.0
1362,267.17378,-25.19284,MPA J1748-2511,26.0869565217,26.0869565217,0.0
1363,270.79086,-27.04607,PHR J1803-2702,26.0869565217,26.0869565217,0.0
1364,271.49081,-27.38583,PHR J1805-2723,26.0869565217,26.0869565217,0.0
1365,269.8004,-26.50668,PHR J1759-2630,26.0869565217,26.0869565217,0.0
1366,271.26333,-27.20916,MPA J1805-2712,26.0869565217,26.0869565217,0.0
1367,275.06991,-29.01263,BMP J1820-2900,26.0869565217,26.0869565217,0.0
1368,265.956,-24.4007,PHR J1743-2424,26.0869565217,26.0869565217,0.0
1369,268.03581,-25.46331,PHR J1752-2527,26.0869565217,26.0869565217,0.0
1370,271.01079,-26.89087,PHR J1804-2653,26.0869565217,26.0869565217,0.0
1371,271.81252,-27.26423,PHR J1807-2715,26.0869565217,26.0869565217,0.0
1372,270.54669,-26.61885,PHR J1802-2637,26.0869565217,26.0869565217,0.0
1373,266.6625,-24.44092,PHR J1746-2426,26.0869565217,26.0869565217,0.0
1374,262.929,-22.2769,PHR J1731-2216,26.0869565217,26.0869565217,0.0
1375,266.19292,-24.11636,PHR J1744-2406,26.0869565217,26.0869565217,0.0
1376,271.35955,-26.81748,PPA J1805-2649,26.0869565217,26.0869565217,0.0
1377,271.24794,-26.75469,PHR J1804-2645,26.0869565217,26.0869565217,0.0
1378,271.24546,-26.70972,PHR J1804-2643,26.0869565217,26.0869565217,0.0
1379,261.55126,-21.29861,PHR J1726-2117,26.0869565217,26.0869565217,0.0
1380,265.37001,-23.53866,PPA J1741-2332,26.0869565217,26.0869565217,0.0
1381,271.73331,-26.88167,PHR J1806-2652,26.0869565217,26.0869565217,0.0
1382,267.13443,-24.45279,PPA J1748-2427,26.0869565217,26.0869565217,0.0
1383,266.90853,-24.24068,MPA J1747-2414,26.0869565217,26.0869565217,0.0
1384,271.33354,-26.52911,PHR J1805-2631,26.0869565217,26.0869565217,0.0
1385,267.13752,-24.29334,PHR J1748-2417,26.0869565217,26.0869565217,0.0
1386,262.96575,-21.82181,G 4.4+6.4,26.0869565217,26.0869565217,0.0
1387,270.32875,-25.88918,PPA J1801-2553,26.0869565217,26.0869565217,0.0
1388,272.00085,-26.62723,PHR J1807-2637,26.0869565217,26.0869565217,0.0
1389,267.08941,-24.03735,MPA J1748-2402,26.0869565217,26.0869565217,0.0
1390,263.38753,-21.85639,PHR J1733-2151,26.0869565217,26.0869565217,0.0
1391,267.31144,-23.94497,BMP J1749-2356,26.0869565217,26.0869565217,0.0
1392,270.32047,-25.37724,PHR J1801-2522,26.0869565217,26.0869565217,0.0
1393,263.82081,-21.77497,PHR J1735-2146,26.0869565217,26.0869565217,0.0
1394,269.77043,-25.03023,PHR J1759-2501,26.0869565217,26.0869565217,0.0
1395,273.70082,-26.98689,PHR J1814-2659,26.0869565217,26.0869565217,0.0
